synthetic_id,class_label,is_processed_valid,reason_skipped,num_blade_coords,num_vein_coords,file_blade_mask,file_blade_ect,file_vein_mask,file_vein_ect,file_combined_viz_blade_on_ect,file_combined_viz_vein_on_ect,file_transformed_blade_coords,file_transformed_vein_coords
synthetic_leaf_00000,algeria,True,,456,1216,blade_masks/synthetic_leaf_00000_blade_mask.png,blade_ects/synthetic_leaf_00000_blade_ect.png,vein_masks/synthetic_leaf_00000_vein_mask.png,vein_ects/synthetic_leaf_00000_vein_ect.png,combined_viz/synthetic_leaf_00000_combined_blade.png,combined_viz/synthetic_leaf_00000_combined_vein.png,transformed_coords/synthetic_leaf_00000_blade_coords.npy,transformed_coords/synthetic_leaf_00000_vein_coords.npy
synthetic_leaf_00001,algeria,True,,456,1216,blade_masks/synthetic_leaf_00001_blade_mask.png,blade_ects/synthetic_leaf_00001_blade_ect.png,vein_masks/synthetic_leaf_00001_vein_mask.png,vein_ects/synthetic_leaf_00001_vein_ect.png,combined_viz/synthetic_leaf_00001_combined_blade.png,combined_viz/synthetic_leaf_00001_combined_vein.png,transformed_coords/synthetic_leaf_00001_blade_coords.npy,transformed_coords/synthetic_leaf_00001_vein_coords.npy
synthetic_leaf_00002,algeria,True,,456,1216,blade_masks/synthetic_leaf_00002_blade_mask.png,blade_ects/synthetic_leaf_00002_blade_ect.png,vein_masks/synthetic_leaf_00002_vein_mask.png,vein_ects/synthetic_leaf_00002_vein_ect.png,combined_viz/synthetic_leaf_00002_combined_blade.png,combined_viz/synthetic_leaf_00002_combined_vein.png,transformed_coords/synthetic_leaf_00002_blade_coords.npy,transformed_coords/synthetic_leaf_00002_vein_coords.npy
synthetic_leaf_00003,algeria,True,,456,1216,blade_masks/synthetic_leaf_00003_blade_mask.png,blade_ects/synthetic_leaf_00003_blade_ect.png,vein_masks/synthetic_leaf_00003_vein_mask.png,vein_ects/synthetic_leaf_00003_vein_ect.png,combined_viz/synthetic_leaf_00003_combined_blade.png,combined_viz/synthetic_leaf_00003_combined_vein.png,transformed_coords/synthetic_leaf_00003_blade_coords.npy,transformed_coords/synthetic_leaf_00003_vein_coords.npy
synthetic_leaf_00004,algeria,True,,456,1216,blade_masks/synthetic_leaf_00004_blade_mask.png,blade_ects/synthetic_leaf_00004_blade_ect.png,vein_masks/synthetic_leaf_00004_vein_mask.png,vein_ects/synthetic_leaf_00004_vein_ect.png,combined_viz/synthetic_leaf_00004_combined_blade.png,combined_viz/synthetic_leaf_00004_combined_vein.png,transformed_coords/synthetic_leaf_00004_blade_coords.npy,transformed_coords/synthetic_leaf_00004_vein_coords.npy
synthetic_leaf_00005,algeria,True,,456,1216,blade_masks/synthetic_leaf_00005_blade_mask.png,blade_ects/synthetic_leaf_00005_blade_ect.png,vein_masks/synthetic_leaf_00005_vein_mask.png,vein_ects/synthetic_leaf_00005_vein_ect.png,combined_viz/synthetic_leaf_00005_combined_blade.png,combined_viz/synthetic_leaf_00005_combined_vein.png,transformed_coords/synthetic_leaf_00005_blade_coords.npy,transformed_coords/synthetic_leaf_00005_vein_coords.npy
synthetic_leaf_00006,algeria,True,,456,1216,blade_masks/synthetic_leaf_00006_blade_mask.png,blade_ects/synthetic_leaf_00006_blade_ect.png,vein_masks/synthetic_leaf_00006_vein_mask.png,vein_ects/synthetic_leaf_00006_vein_ect.png,combined_viz/synthetic_leaf_00006_combined_blade.png,combined_viz/synthetic_leaf_00006_combined_vein.png,transformed_coords/synthetic_leaf_00006_blade_coords.npy,transformed_coords/synthetic_leaf_00006_vein_coords.npy
synthetic_leaf_00007,algeria,True,,456,1216,blade_masks/synthetic_leaf_00007_blade_mask.png,blade_ects/synthetic_leaf_00007_blade_ect.png,vein_masks/synthetic_leaf_00007_vein_mask.png,vein_ects/synthetic_leaf_00007_vein_ect.png,combined_viz/synthetic_leaf_00007_combined_blade.png,combined_viz/synthetic_leaf_00007_combined_vein.png,transformed_coords/synthetic_leaf_00007_blade_coords.npy,transformed_coords/synthetic_leaf_00007_vein_coords.npy
synthetic_leaf_00008,algeria,True,,456,1216,blade_masks/synthetic_leaf_00008_blade_mask.png,blade_ects/synthetic_leaf_00008_blade_ect.png,vein_masks/synthetic_leaf_00008_vein_mask.png,vein_ects/synthetic_leaf_00008_vein_ect.png,combined_viz/synthetic_leaf_00008_combined_blade.png,combined_viz/synthetic_leaf_00008_combined_vein.png,transformed_coords/synthetic_leaf_00008_blade_coords.npy,transformed_coords/synthetic_leaf_00008_vein_coords.npy
synthetic_leaf_00009,algeria,True,,456,1216,blade_masks/synthetic_leaf_00009_blade_mask.png,blade_ects/synthetic_leaf_00009_blade_ect.png,vein_masks/synthetic_leaf_00009_vein_mask.png,vein_ects/synthetic_leaf_00009_vein_ect.png,combined_viz/synthetic_leaf_00009_combined_blade.png,combined_viz/synthetic_leaf_00009_combined_vein.png,transformed_coords/synthetic_leaf_00009_blade_coords.npy,transformed_coords/synthetic_leaf_00009_vein_coords.npy
synthetic_leaf_00010,algeria,True,,456,1216,blade_masks/synthetic_leaf_00010_blade_mask.png,blade_ects/synthetic_leaf_00010_blade_ect.png,vein_masks/synthetic_leaf_00010_vein_mask.png,vein_ects/synthetic_leaf_00010_vein_ect.png,combined_viz/synthetic_leaf_00010_combined_blade.png,combined_viz/synthetic_leaf_00010_combined_vein.png,transformed_coords/synthetic_leaf_00010_blade_coords.npy,transformed_coords/synthetic_leaf_00010_vein_coords.npy
synthetic_leaf_00011,algeria,True,,456,1216,blade_masks/synthetic_leaf_00011_blade_mask.png,blade_ects/synthetic_leaf_00011_blade_ect.png,vein_masks/synthetic_leaf_00011_vein_mask.png,vein_ects/synthetic_leaf_00011_vein_ect.png,combined_viz/synthetic_leaf_00011_combined_blade.png,combined_viz/synthetic_leaf_00011_combined_vein.png,transformed_coords/synthetic_leaf_00011_blade_coords.npy,transformed_coords/synthetic_leaf_00011_vein_coords.npy
synthetic_leaf_00012,algeria,True,,456,1216,blade_masks/synthetic_leaf_00012_blade_mask.png,blade_ects/synthetic_leaf_00012_blade_ect.png,vein_masks/synthetic_leaf_00012_vein_mask.png,vein_ects/synthetic_leaf_00012_vein_ect.png,combined_viz/synthetic_leaf_00012_combined_blade.png,combined_viz/synthetic_leaf_00012_combined_vein.png,transformed_coords/synthetic_leaf_00012_blade_coords.npy,transformed_coords/synthetic_leaf_00012_vein_coords.npy
synthetic_leaf_00013,algeria,True,,456,1216,blade_masks/synthetic_leaf_00013_blade_mask.png,blade_ects/synthetic_leaf_00013_blade_ect.png,vein_masks/synthetic_leaf_00013_vein_mask.png,vein_ects/synthetic_leaf_00013_vein_ect.png,combined_viz/synthetic_leaf_00013_combined_blade.png,combined_viz/synthetic_leaf_00013_combined_vein.png,transformed_coords/synthetic_leaf_00013_blade_coords.npy,transformed_coords/synthetic_leaf_00013_vein_coords.npy
synthetic_leaf_00014,algeria,True,,456,1216,blade_masks/synthetic_leaf_00014_blade_mask.png,blade_ects/synthetic_leaf_00014_blade_ect.png,vein_masks/synthetic_leaf_00014_vein_mask.png,vein_ects/synthetic_leaf_00014_vein_ect.png,combined_viz/synthetic_leaf_00014_combined_blade.png,combined_viz/synthetic_leaf_00014_combined_vein.png,transformed_coords/synthetic_leaf_00014_blade_coords.npy,transformed_coords/synthetic_leaf_00014_vein_coords.npy
synthetic_leaf_00015,algeria,True,,456,1216,blade_masks/synthetic_leaf_00015_blade_mask.png,blade_ects/synthetic_leaf_00015_blade_ect.png,vein_masks/synthetic_leaf_00015_vein_mask.png,vein_ects/synthetic_leaf_00015_vein_ect.png,combined_viz/synthetic_leaf_00015_combined_blade.png,combined_viz/synthetic_leaf_00015_combined_vein.png,transformed_coords/synthetic_leaf_00015_blade_coords.npy,transformed_coords/synthetic_leaf_00015_vein_coords.npy
synthetic_leaf_00016,algeria,True,,456,1216,blade_masks/synthetic_leaf_00016_blade_mask.png,blade_ects/synthetic_leaf_00016_blade_ect.png,vein_masks/synthetic_leaf_00016_vein_mask.png,vein_ects/synthetic_leaf_00016_vein_ect.png,combined_viz/synthetic_leaf_00016_combined_blade.png,combined_viz/synthetic_leaf_00016_combined_vein.png,transformed_coords/synthetic_leaf_00016_blade_coords.npy,transformed_coords/synthetic_leaf_00016_vein_coords.npy
synthetic_leaf_00017,algeria,True,,456,1216,blade_masks/synthetic_leaf_00017_blade_mask.png,blade_ects/synthetic_leaf_00017_blade_ect.png,vein_masks/synthetic_leaf_00017_vein_mask.png,vein_ects/synthetic_leaf_00017_vein_ect.png,combined_viz/synthetic_leaf_00017_combined_blade.png,combined_viz/synthetic_leaf_00017_combined_vein.png,transformed_coords/synthetic_leaf_00017_blade_coords.npy,transformed_coords/synthetic_leaf_00017_vein_coords.npy
synthetic_leaf_00018,algeria,True,,456,1216,blade_masks/synthetic_leaf_00018_blade_mask.png,blade_ects/synthetic_leaf_00018_blade_ect.png,vein_masks/synthetic_leaf_00018_vein_mask.png,vein_ects/synthetic_leaf_00018_vein_ect.png,combined_viz/synthetic_leaf_00018_combined_blade.png,combined_viz/synthetic_leaf_00018_combined_vein.png,transformed_coords/synthetic_leaf_00018_blade_coords.npy,transformed_coords/synthetic_leaf_00018_vein_coords.npy
synthetic_leaf_00019,algeria,True,,456,1216,blade_masks/synthetic_leaf_00019_blade_mask.png,blade_ects/synthetic_leaf_00019_blade_ect.png,vein_masks/synthetic_leaf_00019_vein_mask.png,vein_ects/synthetic_leaf_00019_vein_ect.png,combined_viz/synthetic_leaf_00019_combined_blade.png,combined_viz/synthetic_leaf_00019_combined_vein.png,transformed_coords/synthetic_leaf_00019_blade_coords.npy,transformed_coords/synthetic_leaf_00019_vein_coords.npy
synthetic_leaf_00020,algeria,True,,456,1216,blade_masks/synthetic_leaf_00020_blade_mask.png,blade_ects/synthetic_leaf_00020_blade_ect.png,vein_masks/synthetic_leaf_00020_vein_mask.png,vein_ects/synthetic_leaf_00020_vein_ect.png,combined_viz/synthetic_leaf_00020_combined_blade.png,combined_viz/synthetic_leaf_00020_combined_vein.png,transformed_coords/synthetic_leaf_00020_blade_coords.npy,transformed_coords/synthetic_leaf_00020_vein_coords.npy
